source_zip_path	source_sha256	evidence_register_row	evidence_id	register_original_filename_used	register_standardized_filename_used	original_output_path	standardized_output_path
01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_1775946625_Thread _1492668186179666113/UMA - 💬｜dispute-threads - Will _Donk_ be said during the PGL Bucharest 2026 Grand Final_ - 1775946625 [1492668186179666113].html	ce4e941ea499c098714f5022bf341796d4d81992b7d0d4b53c5119d63f4a2422	105	DCE-002	01_Originals/UMA_1775946625_Thread _1492668186179666113/UMA - 💬｜dispute-threads - Will _Donk_ be said during the PGL Bucharest 2026 Grand Final_ - 1775946625 [1492668186179666113].html	DCE-002_UMA_Donk_thread_original.html	01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_1775946625_Thread _1492668186179666113/UMA - 💬｜dispute-threads - Will _Donk_ be said during the PGL Bucharest 2026 Grand Final_ - 1775946625 [1492668186179666113].html	04_Standardized_Evidence/Discord Exports/01_Originals/UMA_1775946625_Thread _1492668186179666113/DCE-002_UMA_Donk_thread_original.html
01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_1775946625_Thread _1492668186179666113/UMA - 💬｜dispute-threads - Will _Donk_ be said during the PGL Bucharest 2026 Grand Final_ - 1775946625 [1492668186179666113].json	d70275b64d09bf505642e40eddb751496133eee12234328278c9882d4e972ffb	106	DCE-003	01_Originals/UMA_1775946625_Thread _1492668186179666113/UMA - 💬｜dispute-threads - Will _Donk_ be said during the PGL Bucharest 2026 Grand Final_ - 1775946625 [1492668186179666113].json	DCE-003_UMA_Donk_thread_original.json	01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_1775946625_Thread _1492668186179666113/UMA - 💬｜dispute-threads - Will _Donk_ be said during the PGL Bucharest 2026 Grand Final_ - 1775946625 [1492668186179666113].json	04_Standardized_Evidence/Discord Exports/01_Originals/UMA_1775946625_Thread _1492668186179666113/DCE-003_UMA_Donk_thread_original.json
01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_Channel_719352532354465833/UMA _719352532354465833_03_07_2025_to_06_07_2025.html	cb1474253dcf1b2a5768502c5f2a625348c84828caca2a1717be5dd6726d145c	107	DCE-004	01_Originals/UMA_Channel_719352532354465833/UMA _719352532354465833_03_07_2025_to_06_07_2025.html	DCE-004_UMA_voting_discussion_2025-07-03_to_2025-07-06_original.html	01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_Channel_719352532354465833/UMA _719352532354465833_03_07_2025_to_06_07_2025.html	04_Standardized_Evidence/Discord Exports/01_Originals/UMA_Channel_719352532354465833/DCE-004_UMA_voting_discussion_2025-07-03_to_2025-07-06_original.html
01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_Channel_719352532354465833/UMA _719352532354465833_03_07_2025_to_06_07_2025.json	83548a8c3e32727088d56be416202d85536eaf9f858e38409867851824b99fa0	108	DCE-005	01_Originals/UMA_Channel_719352532354465833/UMA _719352532354465833_03_07_2025_to_06_07_2025.json	DCE-005_UMA_voting_discussion_2025-07-03_to_2025-07-06_original.json	01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_Channel_719352532354465833/UMA _719352532354465833_03_07_2025_to_06_07_2025.json	04_Standardized_Evidence/Discord Exports/01_Originals/UMA_Channel_719352532354465833/DCE-005_UMA_voting_discussion_2025-07-03_to_2025-07-06_original.json
01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_Thread_1515853475681009704/UMA - 💬｜dispute-threads - US x Iran permanent peace deal by June 15, 2026_ - 1781475979 [1515853475681009704].html	e8944a8dfea612f7551350a20633cca2fb4e69f535dc7e886f52c7a962b82d0f	109	DCE-006	01_Originals/UMA_Thread_1515853475681009704/UMA - 💬｜dispute-threads - US x Iran permanent peace deal by June 15, 2026_ - 1781475979 [1515853475681009704].html	DCE-006_UMA_US_Iran_June15_thread_original.html	01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_Thread_1515853475681009704/UMA - 💬｜dispute-threads - US x Iran permanent peace deal by June 15, 2026_ - 1781475979 [1515853475681009704].html	04_Standardized_Evidence/Discord Exports/01_Originals/UMA_Thread_1515853475681009704/DCE-006_UMA_US_Iran_June15_thread_original.html
01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_Thread_1515853475681009704/UMA - 💬｜dispute-threads - US x Iran permanent peace deal by June 15, 2026_ - 1781475979 [1515853475681009704].json	acf69026d4443d129995c58a18cba0a8cb6d3cbdb5d3174c0a4fdabb6efb3e00	110	DCE-007	01_Originals/UMA_Thread_1515853475681009704/UMA - 💬｜dispute-threads - US x Iran permanent peace deal by June 15, 2026_ - 1781475979 [1515853475681009704].json	DCE-007_UMA_US_Iran_June15_thread_original.json	01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_Thread_1515853475681009704/UMA - 💬｜dispute-threads - US x Iran permanent peace deal by June 15, 2026_ - 1781475979 [1515853475681009704].json	04_Standardized_Evidence/Discord Exports/01_Originals/UMA_Thread_1515853475681009704/DCE-007_UMA_US_Iran_June15_thread_original.json
01_ORIGINAL_EVIDENCE/Discord Exports/02_Readable_HTML/UMA _719352532354465833_03_07_2025_to_06_07_2025.html	cb1474253dcf1b2a5768502c5f2a625348c84828caca2a1717be5dd6726d145c	107	DCE-004	01_Originals/UMA_Channel_719352532354465833/UMA _719352532354465833_03_07_2025_to_06_07_2025.html	DCE-004_UMA_voting_discussion_2025-07-03_to_2025-07-06_original.html	01_ORIGINAL_EVIDENCE/Discord Exports/02_Readable_HTML/UMA _719352532354465833_03_07_2025_to_06_07_2025.html	04_Standardized_Evidence/Discord Exports/02_Readable_HTML/DCE-004_UMA_voting_discussion_2025-07-03_to_2025-07-06_original.html
01_ORIGINAL_EVIDENCE/Discord Exports/02_Readable_HTML/UMA_1781475979_1515853475681009704.html	e8944a8dfea612f7551350a20633cca2fb4e69f535dc7e886f52c7a962b82d0f	112	DCE-009	02_Readable_HTML/UMA_1781475979_1515853475681009704.html	DCE-009_UMA_US_Iran_June15_thread_readable.html	01_ORIGINAL_EVIDENCE/Discord Exports/02_Readable_HTML/UMA_1781475979_1515853475681009704.html	04_Standardized_Evidence/Discord Exports/02_Readable_HTML/DCE-009_UMA_US_Iran_June15_thread_readable.html
01_ORIGINAL_EVIDENCE/Discord Exports/03_Screenshot_Context/HLpHylzagAAbWDx.png	45e588852ee0c087069eaa5dcc1d468d44d9625792f3648703cf97a42a54d344	113	DCE-010	03_Screenshot_Context/HLpHylzagAAbWDx.png	DCE-010_Davy_Jones_UMA_tokens_force_it_through.png	01_ORIGINAL_EVIDENCE/Discord Exports/03_Screenshot_Context/HLpHylzagAAbWDx.png	04_Standardized_Evidence/Discord Exports/03_Screenshot_Context/DCE-010_Davy_Jones_UMA_tokens_force_it_through.png
01_ORIGINAL_EVIDENCE/Discord Exports/03_Screenshot_Context/HLpICwha8AEY4tZ.png	917440dc050211ea21abba9d03938c580aeb53797976b9ca75c42f303d83eb11	114	DCE-011	03_Screenshot_Context/HLpICwha8AEY4tZ.png	DCE-011_borntoolate_other_whales_same_page.png	01_ORIGINAL_EVIDENCE/Discord Exports/03_Screenshot_Context/HLpICwha8AEY4tZ.png	04_Standardized_Evidence/Discord Exports/03_Screenshot_Context/DCE-011_borntoolate_other_whales_same_page.png
01_ORIGINAL_EVIDENCE/Discord Exports/03_Screenshot_Context/image.png	6aa83497028adb5e501143af6eda1083cfabf596941840128b3b13f7388a6aea	115	DCE-012	03_Screenshot_Context/image.png	DCE-012_public_commentary_yes_whales_interim_mou.png	01_ORIGINAL_EVIDENCE/Discord Exports/03_Screenshot_Context/image.png	04_Standardized_Evidence/Discord Exports/03_Screenshot_Context/DCE-012_public_commentary_yes_whales_interim_mou.png
01_ORIGINAL_EVIDENCE/Discord Exports/03_Screenshot_Context/Screenshot 2026-06-25 225656.png	7eb27b1bdf0d3d8a7392d73c631602b1c44ff7dabecb3fc321a07f1b52c0ee03	116	DCE-013	03_Screenshot_Context/Screenshot 2026-06-25 225656.png	DCE-013_Verdit_X_post_UMA_token_holder_warning.png	01_ORIGINAL_EVIDENCE/Discord Exports/03_Screenshot_Context/Screenshot 2026-06-25 225656.png	04_Standardized_Evidence/Discord Exports/03_Screenshot_Context/DCE-013_Verdit_X_post_UMA_token_holder_warning.png
01_ORIGINAL_EVIDENCE/Discord Exports/03_Screenshot_Context/Screenshot 2026-06-25 230359.png	335b9d49426d59da5a543dcd2453f560ea268e53caebcfe65702939251bbe14a	117	DCE-014	03_Screenshot_Context/Screenshot 2026-06-25 230359.png	DCE-014_borntoolate_message_context_search_result.png	01_ORIGINAL_EVIDENCE/Discord Exports/03_Screenshot_Context/Screenshot 2026-06-25 230359.png	04_Standardized_Evidence/Discord Exports/03_Screenshot_Context/DCE-014_borntoolate_message_context_search_result.png
01_ORIGINAL_EVIDENCE/Discord Exports/03_Screenshot_Context/Screenshot 2026-06-26 114208.png	388a2ef8240031efb4f5a26e033a669bf41e425f0218f1311e5fa428640808a7	118	DCE-015	03_Screenshot_Context/Screenshot 2026-06-26 114208.png	DCE-015_borntoolate_fulfilled_my_part_agreement.png	01_ORIGINAL_EVIDENCE/Discord Exports/03_Screenshot_Context/Screenshot 2026-06-26 114208.png	04_Standardized_Evidence/Discord Exports/03_Screenshot_Context/DCE-015_borntoolate_fulfilled_my_part_agreement.png
01_ORIGINAL_EVIDENCE/Discord Exports/03_Screenshot_Context/Screenshot 2026-06-26 114557.png	e83ba9e8a9383ce1332aa4de561e7853e6b437b2061a243d8905aa16c1115a86	119	DCE-016	03_Screenshot_Context/Screenshot 2026-06-26 114557.png	DCE-016_drespasmo_Lazarus_US_Iran_dispute_context.png	01_ORIGINAL_EVIDENCE/Discord Exports/03_Screenshot_Context/Screenshot 2026-06-26 114557.png	04_Standardized_Evidence/Discord Exports/03_Screenshot_Context/DCE-016_drespasmo_Lazarus_US_Iran_dispute_context.png
01_ORIGINAL_EVIDENCE/Discord Exports/03_Screenshot_Context/Screenshot_2026-06-25-21-32-00-92_572064f74bd5f9fa804b05334aa4f912.jpg	9526da52380baf62167410bdbcf9442d19f43c8f7b4a7e5516607062138dc869	120	DCE-017	03_Screenshot_Context/Screenshot_2026-06-25-21-32-00-92_572064f74bd5f9fa804b05334aa4f912.jpg	DCE-017_Donk_thread_vote_argument_largest_NO_holder.png	01_ORIGINAL_EVIDENCE/Discord Exports/03_Screenshot_Context/Screenshot_2026-06-25-21-32-00-92_572064f74bd5f9fa804b05334aa4f912.jpg	04_Standardized_Evidence/Discord Exports/03_Screenshot_Context/DCE-017_Donk_thread_vote_argument_largest_NO_holder.png
01_ORIGINAL_EVIDENCE/Discord Exports/05_Hashes/Discord_Exports_hashes_sha256_manifest.csv	979c8536684c9f08b722f05ebe4410d2ace3a9a963f9e30edb18fa1b30a7bfc0	121	DCE-018	05_Hashes/Discord_Exports_hashes_sha256_manifest.csv	DCE-018_Discord_exports_SHA256_manifest.csv	01_ORIGINAL_EVIDENCE/Discord Exports/05_Hashes/Discord_Exports_hashes_sha256_manifest.csv	04_Standardized_Evidence/Discord Exports/05_Hashes/DCE-018_Discord_exports_SHA256_manifest.csv
01_ORIGINAL_EVIDENCE/Discord Exports/05_Hashes/Images_original_hashes_sha256.csv	c5fc423c837e8cf3f1777c9984db1fdd6d77b73cfb671b4cce4205a699719897	122	DCE-019	05_Hashes/Images_original_hashes_sha256.csv	DCE-019_Discord_screenshot_images_SHA256_manifest.csv	01_ORIGINAL_EVIDENCE/Discord Exports/05_Hashes/Images_original_hashes_sha256.csv	04_Standardized_Evidence/Discord Exports/05_Hashes/DCE-019_Discord_screenshot_images_SHA256_manifest.csv
01_ORIGINAL_EVIDENCE/Discord Exports/EVC-001_evidence_channel_export.html	1b2d4118b8c4ca8c408a5bc3746bab3d51b49e09824102ad43f121762f7ef523	124	EVC-001	POLYMARKET UMA scam - 🔍 ┃ EVIDENCE & RESEARCH - 📂┃evidences [1517091731236192418].json	Discord Exports/EVC-001_evidence_channel_export.html	01_ORIGINAL_EVIDENCE/Discord Exports/POLYMARKET UMA scam - 🔍 ┃ EVIDENCE & RESEARCH - 📂┃evidences [1517091731236192418].json	04_Standardized_Evidence/Discord Exports/EVC-001_evidence_channel_export.html
01_ORIGINAL_EVIDENCE/Discord Exports/UMA whale messages.xlsx	8e04674dd78483f5a9cdb36ad910d1ced075f863a87ff5e15144da2b8da86697	123	DCE-020	UMA whale messages.xlsx	DCE-020_UMA_whale_messages_index.xlsx	01_ORIGINAL_EVIDENCE/Discord Exports/UMA whale messages.xlsx	04_Standardized_Evidence/Discord Exports/DCE-020_UMA_whale_messages_index.xlsx
01_ORIGINAL_EVIDENCE/Insider Trading News/Benni (UMA Discord owner) appearance.rar	a51d42a76c0febc73d6878426285c867bf4b6ee7297b4f178feca6c656924548	129	EVC-006	Assets/Benni_UMA_Discord_owner_appearance-23df4b07753333f9.rar	UMA disputers coordination/EVC-006_03_Benni_UMA_Discord_owner_appearance-23df4b07753333f9.rar	01_ORIGINAL_EVIDENCE/Insider Trading News/Benni_UMA_Discord_owner_appearance-23df4b07753333f9.rar	04_Standardized_Evidence/Insider Trading News/EVC-006_03_Benni_UMA_Discord_owner_appearance-23df4b07753333f9.rar
01_ORIGINAL_EVIDENCE/Insider Trading News/bots behaviour chat - discord.png	ae2129fb6e5ba4d0be76b9c9b47f70e0add5b50dedffd525ab2afe2b9fb65396	130	EVC-007	Assets/image-4cae564b791be8ab.png	Trade History/EVC-007_02_image-4cae564b791be8ab.png	01_ORIGINAL_EVIDENCE/Insider Trading News/image-4cae564b791be8ab.png	04_Standardized_Evidence/Insider Trading News/EVC-007_02_image-4cae564b791be8ab.png
01_ORIGINAL_EVIDENCE/Insider Trading News/EVC-008_01_image0-4386278a36442e8c.jpg	a1fd99535021db96b6c0b93cb1b5d2219d721c789cc9f54f506a094bf2dd757d	131	EVC-008	Assets/image0-4386278a36442e8c.jpg	Insider Trading News/EVC-008_01_image0-4386278a36442e8c.jpg	01_ORIGINAL_EVIDENCE/Insider Trading News/image0-4386278a36442e8c.jpg	04_Standardized_Evidence/Insider Trading News/EVC-008_01_image0-4386278a36442e8c.jpg
01_ORIGINAL_EVIDENCE/Insider Trading News/EVC-008_02_image0-02e670cd80f5b8e5.jpg	805c27c9bbc2ecadf5e1583240702c047a6cc12673270c3a2a3936fb494470b2	131	EVC-008	Assets/image0-02e670cd80f5b8e5.jpg	Insider Trading News/EVC-008_02_image0-02e670cd80f5b8e5.jpg	01_ORIGINAL_EVIDENCE/Insider Trading News/image0-02e670cd80f5b8e5.jpg	04_Standardized_Evidence/Insider Trading News/EVC-008_02_image0-02e670cd80f5b8e5.jpg
01_ORIGINAL_EVIDENCE/Insider Trading News/EVC-008_03_image0-7e9659a1d5c8a64c.jpg	1fb749e19f7f94499270fdf6dd40b0aba29d41429a9317ebc916b63eb05b0bbb	131	EVC-008	Assets/image0-7e9659a1d5c8a64c.jpg	Insider Trading News/EVC-008_03_image0-7e9659a1d5c8a64c.jpg	01_ORIGINAL_EVIDENCE/Insider Trading News/image0-7e9659a1d5c8a64c.jpg	04_Standardized_Evidence/Insider Trading News/EVC-008_03_image0-7e9659a1d5c8a64c.jpg
01_ORIGINAL_EVIDENCE/Insider Trading News/EVC-008_04_image0-fd1b4d7f9a804c38.jpg	c5147761cd9f822cc4de00abdb0c6dfd610e4b0f8e6803b14c763360c1bde81a	131	EVC-008	Assets/image0-fd1b4d7f9a804c38.jpg	Insider Trading News/EVC-008_04_image0-fd1b4d7f9a804c38.jpg	01_ORIGINAL_EVIDENCE/Insider Trading News/image0-fd1b4d7f9a804c38.jpg	04_Standardized_Evidence/Insider Trading News/EVC-008_04_image0-fd1b4d7f9a804c38.jpg
01_ORIGINAL_EVIDENCE/Insider Trading News/EVC-008_05_2C5867BF-F37B-4CE6-B39C-3CBF2B7B0B56-9625bd9d737af218.jpg	0441e520a184eb78c5a1059eeda6aa1b07fd1014c22222a0b669ce3e23f49c25	131	EVC-008	Assets/2C5867BF-F37B-4CE6-B39C-3CBF2B7B0B56-9625bd9d737af218.jpg	Insider Trading News/EVC-008_05_2C5867BF-F37B-4CE6-B39C-3CBF2B7B0B56-9625bd9d737af218.jpg	01_ORIGINAL_EVIDENCE/Insider Trading News/2C5867BF-F37B-4CE6-B39C-3CBF2B7B0B56-9625bd9d737af218.jpg	04_Standardized_Evidence/Insider Trading News/EVC-008_05_2C5867BF-F37B-4CE6-B39C-3CBF2B7B0B56-9625bd9d737af218.jpg
01_ORIGINAL_EVIDENCE/Insider Trading News/EVC-008_06_IMG_3478-fbb828b1cb7d3aeb.png	2b36930283c6c5d671b2b41d030c37274af938bc69b91780b3fc0d8c6cdd99c7	131	EVC-008	Assets/IMG_3478-fbb828b1cb7d3aeb.png	Insider Trading News/EVC-008_06_IMG_3478-fbb828b1cb7d3aeb.png	01_ORIGINAL_EVIDENCE/Insider Trading News/IMG_3478-fbb828b1cb7d3aeb.png	04_Standardized_Evidence/Insider Trading News/EVC-008_06_IMG_3478-fbb828b1cb7d3aeb.png
01_ORIGINAL_EVIDENCE/Insider Trading News/EVC-008_07_IMG_3477-6148232d1b947e41.png	04704d631da9162893eab371afebd18b38af0d5c46ff0cb90f6ce8d00a401663	131	EVC-008	Assets/IMG_3477-6148232d1b947e41.png	Insider Trading News/EVC-008_07_IMG_3477-6148232d1b947e41.png	01_ORIGINAL_EVIDENCE/Insider Trading News/IMG_3477-6148232d1b947e41.png	04_Standardized_Evidence/Insider Trading News/EVC-008_07_IMG_3477-6148232d1b947e41.png
01_ORIGINAL_EVIDENCE/Insider Trading News/EVC-008_08_IMG_3476-c2d7895961d089ab.png	80bddbcd3ebda2d9d1cf7179afe128f5d0f4d182b8d31c7c235768fc390921e5	131	EVC-008	Assets/IMG_3476-c2d7895961d089ab.png	Insider Trading News/EVC-008_08_IMG_3476-c2d7895961d089ab.png	01_ORIGINAL_EVIDENCE/Insider Trading News/IMG_3476-c2d7895961d089ab.png	04_Standardized_Evidence/Insider Trading News/EVC-008_08_IMG_3476-c2d7895961d089ab.png
01_ORIGINAL_EVIDENCE/Insider Trading News/EVC-008_09_image-0d369a9e50bf8c0e.png	01b86508d5065ab530d823f8142a9bc0886a5078bced7f3fd60e6e620ec1e356	131	EVC-008	Assets/image-0d369a9e50bf8c0e.png	Insider Trading News/EVC-008_09_image-0d369a9e50bf8c0e.png	01_ORIGINAL_EVIDENCE/Insider Trading News/image-0d369a9e50bf8c0e.png	04_Standardized_Evidence/Insider Trading News/EVC-008_09_image-0d369a9e50bf8c0e.png
01_ORIGINAL_EVIDENCE/Insider Trading News/EVC-009_01_HLLTrB8aAAAyh5A-e39071187a5290cc.jpg_large	569a1ee12f646660f4952ce33ba39ec84c2fe3398bb480346d18536e2efd1340	132	EVC-009	Assets/HLLTrB8aAAAyh5A-e39071187a5290cc.jpg_large	Insider Trading News/EVC-009_01_HLLTrB8aAAAyh5A-e39071187a5290cc.jpg_large	01_ORIGINAL_EVIDENCE/Insider Trading News/HLLTrB8aAAAyh5A-e39071187a5290cc.jpg_large	04_Standardized_Evidence/Insider Trading News/EVC-009_01_HLLTrB8aAAAyh5A-e39071187a5290cc.jpg_large
01_ORIGINAL_EVIDENCE/Insider Trading News/EVC-009_02_HLKxQ77bcAAjuw5-c34c369fe55830ee.jpg_large	d68e69254b0e713e2c5989e95c81acf4dd71583379154e45fd680802223b6a94	132	EVC-009	Assets/HLKxQ77bcAAjuw5-c34c369fe55830ee.jpg_large	Insider Trading News/EVC-009_02_HLKxQ77bcAAjuw5-c34c369fe55830ee.jpg_large	01_ORIGINAL_EVIDENCE/Insider Trading News/HLKxQ77bcAAjuw5-c34c369fe55830ee.jpg_large	04_Standardized_Evidence/Insider Trading News/EVC-009_02_HLKxQ77bcAAjuw5-c34c369fe55830ee.jpg_large
01_ORIGINAL_EVIDENCE/Insider Trading News/EVC-011_01_Investigation_Report-3857a64b9ca49b13.md	e413e64778b0704b858799835ec777fb25a386f227836b7bebd750d82b19ab09	134	EVC-011	Assets/Investigation_Report-3857a64b9ca49b13.md	Insider Trading News/EVC-011_01_Investigation_Report-3857a64b9ca49b13.md	01_ORIGINAL_EVIDENCE/Insider Trading News/Investigation_Report-3857a64b9ca49b13.md	04_Standardized_Evidence/Insider Trading News/EVC-011_01_Investigation_Report-3857a64b9ca49b13.md
01_ORIGINAL_EVIDENCE/Insider Trading News/EVC-015_01_2070179486335983686-42adcacf23bb83f3.png	f91f3c766d2689c2287384f996e4bbbca3598909048cb3ddc1327b70e19c3df0	138	EVC-015	Assets/2070179486335983686-42adcacf23bb83f3	Insider Trading News/EVC-015_01_2070179486335983686-42adcacf23bb83f3.png	01_ORIGINAL_EVIDENCE/Insider Trading News/2070179486335983686-42adcacf23bb83f3	04_Standardized_Evidence/Insider Trading News/EVC-015_01_2070179486335983686-42adcacf23bb83f3.png
01_ORIGINAL_EVIDENCE/Insider Trading News/EVC-015_02_2069501943551086870-c38b5c77f46b0fe9.png	bd17e350de2a43d8a02d09b0e7385a06c4afdbe7cee1a7a67c134cc86b294833	138	EVC-015	Assets/2069501943551086870-c38b5c77f46b0fe9	Insider Trading News/EVC-015_02_2069501943551086870-c38b5c77f46b0fe9.png	01_ORIGINAL_EVIDENCE/Insider Trading News/2069501943551086870-c38b5c77f46b0fe9	04_Standardized_Evidence/Insider Trading News/EVC-015_02_2069501943551086870-c38b5c77f46b0fe9.png
01_ORIGINAL_EVIDENCE/Insider Trading News/EVC-015_03_gettyimages-2283273999-7d0ad2ab680d884c.jpg	2f38f92e6d37d07613f7a49241f07111cb9ebc0fcaa7d81ca1d4da973a682d56	138	EVC-015	Assets/gettyimages-2283273999-7d0ad2ab680d884c.jpg	Insider Trading News/EVC-015_03_gettyimages-2283273999-7d0ad2ab680d884c.jpg	01_ORIGINAL_EVIDENCE/Insider Trading News/gettyimages-2283273999-7d0ad2ab680d884c.jpg	04_Standardized_Evidence/Insider Trading News/EVC-015_03_gettyimages-2283273999-7d0ad2ab680d884c.jpg
01_ORIGINAL_EVIDENCE/Insider Trading News/EVC-015_04_2070556848311222575-895321ab2d7ab9b5.png	0a97de83bf4d52279e8b261a8a4aca95fd82e9c065a4b823188fa397eb2e704f	138	EVC-015	Assets/2070556848311222575-895321ab2d7ab9b5	Insider Trading News/EVC-015_04_2070556848311222575-895321ab2d7ab9b5.png	01_ORIGINAL_EVIDENCE/Insider Trading News/2070556848311222575-895321ab2d7ab9b5	04_Standardized_Evidence/Insider Trading News/EVC-015_04_2070556848311222575-895321ab2d7ab9b5.png
01_ORIGINAL_EVIDENCE/Insider Trading News/EVC-015_05_2069436413599465776-b6a5066f2de44b2d.png	9a910d009cdda648120e245b4f654a530ec11428d36941d0fcf369f5d5683223	138	EVC-015	Assets/2069436413599465776-b6a5066f2de44b2d	Insider Trading News/EVC-015_05_2069436413599465776-b6a5066f2de44b2d.png	01_ORIGINAL_EVIDENCE/Insider Trading News/2069436413599465776-b6a5066f2de44b2d	04_Standardized_Evidence/Insider Trading News/EVC-015_05_2069436413599465776-b6a5066f2de44b2d.png
01_ORIGINAL_EVIDENCE/Insider Trading News/Polymarket Market chat - AnkaraMessii.png	9c648fad6d1ac4c314633089b609b3264641ffa2967345341c61aa7b4a4a62b8	130	EVC-007	Assets/image-cc785c9e02ccf7d9.png	Trade History/EVC-007_01_image-cc785c9e02ccf7d9.png	01_ORIGINAL_EVIDENCE/Insider Trading News/image-cc785c9e02ccf7d9.png	04_Standardized_Evidence/Insider Trading News/EVC-007_01_image-cc785c9e02ccf7d9.png
01_ORIGINAL_EVIDENCE/Insider Trading News/UMA autopilot ad - 2.png	997f1b5ea288f6f06dc10a489d0e9c50a73784d7bdb6bb7c398a65df3ea2866b	17	EV-023	UMA autopilot ad - 2.png	EV-033_communication_uma_autopilot_whale_power_statement.png	01_ORIGINAL_EVIDENCE/Insider Trading News/UMA autopilot ad - 2.png	04_Standardized_Evidence/Insider Trading News/EV-033_communication_uma_autopilot_whale_power_statement.png
